iter	Passed	Remaining
647	1102	599
648	1104	597
649	1105	595
650	1107	593
651	1108	591
652	1110	589
653	1111	588
654	1112	586
655	1114	584
656	1115	582
657	1117	580
658	1118	578
659	1120	577
660	1122	575
661	1123	573
662	1125	571
663	1126	570
664	1128	568
665	1130	566
666	1131	564
667	1133	563
668	1134	561
669	1136	559
670	1137	557
671	1139	556
672	1140	554
673	1142	552
674	1143	550
675	1145	548
676	1146	547
677	1148	545
678	1149	543
679	1151	541
680	1152	539
681	1154	538
682	1155	536
683	1157	534
684	1158	532
685	1159	530
686	1161	529
687	1162	527
688	1164	525
689	1165	523
690	1167	522
691	1169	520
692	1170	518
693	1171	516
694	1173	514
695	1174	513
696	1176	511
697	1177	509
698	1179	507
699	1180	506
700	1182	504
701	1184	502
702	1185	500
703	1187	499
704	1189	497
705	1191	495
706	1192	494
707	1194	492
708	1196	491
709	1197	489
710	1199	487
711	1201	485
712	1202	484
713	1204	482
714	1205	480
715	1207	478
716	1208	477
717	1210	475
718	1211	473
719	1213	471
720	1214	470
721	1216	468
722	1217	466
723	1219	464
724	1220	463
725	1222	461
726	1223	459
727	1225	457
728	1226	456
729	1228	454
730	1230	452
731	1231	450
732	1232	449
733	1234	447
734	1235	445
735	1237	443
736	1238	442
737	1240	440
738	1241	438
739	1243	436
740	1245	435
741	1246	433
742	1248	431
743	1249	430
744	1251	428
745	1253	426
746	1254	424
747	1256	423
748	1257	421
749	1259	419
750	1260	417
751	1261	416
752	1263	414
753	1264	412
754	1266	410
755	1267	409
756	1269	407
757	1270	405
758	1272	403
759	1273	402
760	1275	400
761	1276	398
762	1278	397
763	1279	395
764	1281	393
765	1282	391
766	1284	390
767	1285	388
768	1287	386
769	1288	384
770	1290	383
771	1291	381
772	1293	379
773	1294	378
774	1296	376
775	1297	374
776	1299	372
777	1300	371
778	1302	369
779	1303	367
780	1305	366
781	1306	364
782	1308	362
783	1310	360
784	1311	359
785	1313	357
786	1314	355
787	1316	354
788	1317	352
789	1319	350
790	1320	348
791	1322	347
792	1323	345
793	1324	343
794	1326	342
795	1327	340
796	1329	338
797	1330	336
798	1332	335
799	1333	333
800	1335	331
801	1336	330
802	1338	328
803	1339	326
804	1341	324
805	1342	323
806	1344	321
807	1345	319
808	1346	317
809	1348	316
810	1349	314
811	1351	312
812	1352	311
813	1354	309
814	1355	307
815	1357	305
816	1358	304
817	1360	302
818	1362	301
819	1363	299
820	1364	297
821	1366	295
822	1368	294
823	1370	292
824	1371	290
825	1373	289
826	1375	287
827	1376	286
828	1378	284
829	1380	282
830	1382	281
831	1384	279
832	1386	277
833	1387	276
834	1390	274
835	1392	273
836	1393	271
837	1395	269
838	1397	268
839	1398	266
840	1400	264
841	1402	263
842	1403	261
843	1405	259
844	1406	258
845	1408	256
846	1409	254
847	1411	252
848	1412	251
849	1414	249
850	1415	247
851	1416	246
852	1418	244
853	1420	242
854	1421	241
855	1423	239
856	1425	237
857	1426	236
858	1428	234
859	1430	232
860	1432	231
861	1434	229
862	1435	227
863	1437	226
864	1438	224
865	1440	222
866	1442	221
867	1443	219
868	1445	217
869	1446	216
870	1448	214
871	1449	212
872	1451	211
873	1453	209
874	1454	207
875	1455	206
876	1457	204
877	1459	202
878	1460	201
879	1462	199
880	1463	197
881	1465	196
882	1466	194
883	1468	192
884	1469	191
885	1471	189
886	1473	187
887	1474	186
888	1476	184
889	1477	182
890	1479	180
891	1480	179
892	1482	177
893	1483	175
894	1485	174
895	1487	172
896	1488	170
897	1490	169
898	1491	167
899	1493	165
900	1494	164
901	1496	162
902	1498	160
903	1499	159
904	1501	157
905	1503	155
906	1504	154
907	1505	152
908	1507	150
909	1508	149
910	1510	147
911	1512	145
912	1513	144
913	1515	142
914	1517	140
915	1518	139
916	1520	137
917	1522	135
918	1523	134
919	1526	132
920	1527	131
921	1529	129
922	1530	127
923	1532	126
924	1533	124
925	1535	122
926	1537	121
927	1538	119
928	1540	117
929	1541	116
930	1543	114
931	1544	112
932	1546	111
933	1548	109
934	1550	107
935	1551	106
936	1553	104
937	1555	102
938	1557	101
939	1558	99
940	1560	97
941	1562	96
942	1564	94
943	1565	92
944	1567	91
945	1569	89
946	1571	87
947	1572	86
948	1574	84
949	1576	82
950	1577	81
951	1578	79
952	1580	77
953	1581	76
954	1583	74
955	1584	72
956	1586	71
957	1587	69
958	1589	67
959	1591	66
960	1592	64
961	1594	62
962	1596	61
963	1597	59
964	1599	58
965	1601	56
966	1602	54
967	1604	53
968	1605	51
969	1607	49
970	1609	48
971	1610	46
972	1612	44
973	1614	43
974	1615	41
975	1617	39
976	1619	38
977	1621	36
978	1622	34
979	1624	33
980	1626	31
981	1627	29
982	1629	28
983	1631	26
984	1632	24
985	1634	23
986	1635	21
987	1637	19
988	1639	18
989	1640	16
990	1642	14
991	1643	13
992	1645	11
993	1646	9
994	1648	8
995	1650	6
996	1651	4
997	1654	3
998	1656	1
999	1658	0
